episode,timestep,reward
108,2000,-0.0282
225,4000,-1.2506
338,6000,1.445
445,8000,1.6712
548,10000,3.4952
644,12000,4.2217
729,14000,7.7377
807,16000,8.3571
859,18000,13.4643
915,20000,16.3307
953,22000,32.1647
993,24000,22.5505
1028,26000,36.5614
1067,28000,31.0604
1086,30000,87.255
1116,32000,52.3623
1137,34000,91.2737
1157,36000,80.9474
1179,38000,52.4746
1198,40000,115.6096
1213,42000,117.7258
1231,44000,106.7625
1249,46000,102.9193
1262,48000,167.4314
1276,50000,151.6144
1289,52000,148.3642
1303,54000,150.1946
1316,56000,139.9807
1329,58000,190.6655
1341,60000,234.7221
1353,62000,132.8956
1364,64000,158.9535
1375,66000,211.9246
1387,68000,153.8319
1401,70000,180.3598
1414,72000,170.2303
1425,74000,230.636
1436,76000,208.9189
1444,78000,196.4016
1454,80000,195.1601
1466,82000,164.1488
1476,84000,210.4721
1488,86000,206.9895
1500,88000,172.9203
1512,90000,211.0582
1523,92000,228.8429
1535,94000,223.5288
1547,96000,201.8139
1560,98000,216.3837
1572,100000,179.1154
1582,102000,165.8873
1592,104000,259.5878
1600,106000,265.0875
1609,108000,263.0453
1618,110000,235.6443
1630,112000,231.4042
1641,114000,224.2534
1650,116000,192.1972
1661,118000,255.7064
1669,120000,275.9123
1680,122000,232.921
1691,124000,211.4855
1696,126000,394.0604
1704,128000,373.5462
1716,130000,226.3461
1725,132000,279.7875
1735,134000,278.1998
1746,136000,261.4682
1756,138000,241.1139
1764,140000,303.0704
1773,142000,262.3836
1781,144000,268.9728
1787,146000,413.586
1798,148000,217.3439
1807,150000,283.7674
1816,152000,342.5863
1822,154000,409.9803
1829,156000,278.7912
1835,158000,365.698
1845,160000,300.0555
1856,162000,269.3527
1869,164000,246.1399
1881,166000,261.9771
1893,168000,240.7661
1903,170000,258.495
1915,172000,257.9445
1924,174000,293.1915
1936,176000,204.8769
1942,178000,455.7231
1952,180000,230.6328
1959,182000,370.557
1967,184000,346.6637
1974,186000,285.2414
1980,188000,365.0054
1991,190000,331.494
2003,192000,252.35
2015,194000,289.5449
2026,196000,231.9596
2035,198000,288.553
2043,200000,296.8569
2055,202000,264.9892
2064,204000,295.4315
2073,206000,344.8968
2082,208000,328.6683
2092,210000,243.7368
2101,212000,288.568
2113,214000,280.9307
2118,216000,489.3931
2126,218000,413.5152
2135,220000,314.779
2143,222000,411.791
2152,224000,327.2423
2163,226000,240.5467
2174,228000,327.711
2183,230000,267.2974
2192,232000,276.8383
2205,234000,265.9359
2215,236000,323.2645
2227,238000,311.4193
2237,240000,291.2184
2250,242000,285.6199
2254,244000,548.9325
2262,246000,328.9771
2269,248000,337.3458
2278,250000,325.6012
2284,252000,485.7313
2292,254000,302.4858
2300,256000,432.6375
2309,258000,298.6849
2317,260000,432.188
2329,262000,296.4972
2339,264000,321.6905
2349,266000,342.9739
2355,268000,467.0408
2365,270000,303.7181
2370,272000,475.098
2382,274000,311.693
2388,276000,397.8885
2397,278000,373.1359
2406,280000,383.8938
2416,282000,350.9485
2427,284000,289.2211
2437,286000,342.61
2447,288000,331.9292
2457,290000,308.077
2463,292000,413.4147
2473,294000,362.6538
2480,296000,342.9771
2490,298000,417.8847
2499,300000,389.3466
2509,302000,318.1963
2520,304000,337.6626
2530,306000,353.6047
2541,308000,328.4985
2550,310000,330.8736
2560,312000,317.5113
2573,314000,229.6755
2584,316000,294.2135
2592,318000,444.2002
2598,320000,492.3955
2608,322000,345.067
2618,324000,256.7738
2630,326000,323.8014
2639,328000,392.0302
2650,330000,338.224
2661,332000,331.869
2672,334000,324.9379
2684,336000,320.3629
2697,338000,253.2756
